"","name","url","id","address","crossStreet","lat","lng","postalCode","city","state","country","checkinsCount","usersCount","tipCount","catId","catName","catPluralName","catShortName","phone","formattedPhone","twitter","facebook","facebookUsername","facebookName","pictureUrl","image","rating","canonicalUrl","likesCount","price","rateRemaing"
"1","Cobra","http://www.barcobra.cz","575aaf38cd10d31472bcec28","Milady Horákové 688/8","Veverkova",50.0990815382047,14.4321014062313,"170 00","Praha","Hlavní město Praha","Česká republika",7687,4007,71,"4bf58dd8d48988d116941735","Bar","Bars","Bar","+420778470515","+420 778 470 515","","","","","https://igx.4sqi.net/img/general/width960/151142502_B839Q8RAxMeMR5FJu33iBdyP8rXEUdsTYdKk50Z-yuY.jpg","151142502_B839Q8RAxMeMR5FJu33iBdyP8rXEUdsTYdKk50Z-yuY.jpg",9.3,"https://foursquare.com/v/cobra/575aaf38cd10d31472bcec28",332,"$$","4963"
"2","Elbow Room","","569021fa498ebea616b08247","Veletržní 40","",50.1008648658361,14.4262410554412,"170 00","Praha","Hlavní město Praha","Česká republika",1191,829,10,"4bf58dd8d48988d11e941735","Cocktail Bar","Cocktail Bars","Cocktail","","","","395033233970859","elbowroomletna","Elbow Room","https://igx.4sqi.net/img/general/width960/77704227_aWJkZ2xy5fenN9M_KXLT50LbgJwfX-8XT_Z8Px8yNNE.jpg","77704227_aWJkZ2xy5fenN9M_KXLT50LbgJwfX-8XT_Z8Px8yNNE.jpg",8.4,"https://foursquare.com/v/elbow-room/569021fa498ebea616b08247",71,"$$$","4962"
"3","Stalin Containall","http://www.containall.cz/stalin","555375e2498e72fcb27e402a","Letenské sady","",50.0945599795617,14.416022731468,"","Praha","Hlavní město Praha","Česká republika",9789,5581,48,"4bf58dd8d48988d117941735","Beer Garden","Beer Gardens","Beer Garden","+420731936327","+420 731 936 327","","1426462790989494","StalinContainall","Stalin","https://igx.4sqi.net/img/general/width960/14661095_XA5IyPmNFkbFuhftu7I4Zt3mkU_3EzpQd-1TCtiSUPc.jpg","14661095_XA5IyPmNFkbFuhftu7I4Zt3mkU_3EzpQd-1TCtiSUPc.jpg",9.3,"https://foursquare.com/v/stalin-containall/555375e2498e72fcb27e402a",394,"$$","4961"
"4","Mr.HotDoG","http://www.mrhotdog.cz","555392bb498ef2828eed0936","Kamenická 24","",50.099489918857,14.4275182196515,"","Praha","Hlavní město Praha","Česká republika",5999,3158,98,"4bf58dd8d48988d16f941735","Hot Dog Joint","Hot Dog Joints","Hot Dogs","+420732732404","+420 732 732 404","","1708915786000397","","Mr.HotDog","https://igx.4sqi.net/img/general/width960/69019396_fdEC4r2Uf5p8nf1rAT7LZuc4rkEPo536zGM1fd06Klo.jpg","69019396_fdEC4r2Uf5p8nf1rAT7LZuc4rkEPo536zGM1fd06Klo.jpg",9.2,"https://foursquare.com/v/mrhotdog/555392bb498ef2828eed0936",398,"$$","4960"
"5","BIO | OKO","http://www.biooko.net","4b1fe5b7f964a5206f2a24e3","Františka Křížka 460/15","",50.099950259458,14.4302415847778,"170 00","Praha","","Česká republika",27177,8638,179,"4bf58dd8d48988d17e941735","Indie Movie Theater","Indie Movie Theaters","Indie Movies","+420233382606","+420 233 382 606","bio_oko","","","","https://igx.4sqi.net/img/general/width960/4429507_B4AcZXiUbA8D-yI9Wep1N4XT-3X-f4QxgLxsBpM7nCs.jpg","4429507_B4AcZXiUbA8D-yI9Wep1N4XT-3X-f4QxgLxsBpM7nCs.jpg",9.3,"https://foursquare.com/bio_oko",1055,"$","4959"
"6","Burrito Loco","http://www.burritoloco.cz","52efb72a11d26e76c232b8f0","Milady Horákové 3","Strossmayerovo náměstí",50.099034042504,14.432729185603,"170 00","Praha","Hlavní město Praha","Česká republika",5627,4666,46,"4bf58dd8d48988d153941735","Burrito Place","Burrito Places","Burritos","+420233321145","+420 233 321 145","","","","","https://igx.4sqi.net/img/general/width960/6737483_z82Sac8LzKFaq4Muk_pyc1tGQbpttm8ubzok5EuA7zU.jpg","6737483_z82Sac8LzKFaq4Muk_pyc1tGQbpttm8ubzok5EuA7zU.jpg",8,"https://foursquare.com/v/burrito-loco/52efb72a11d26e76c232b8f0",254,"$","4958"
"7","Café Spitfire","http://www.cafespitfire.cz","4e864646b8f7317f2fece6bd","Kamenická 746/37","entry from Veletržní 57",50.1009894305347,14.4266528064116,"170 00","Praha","Hlavní město Praha","Česká republika",2732,1381,22,"4bf58dd8d48988d16d941735","Café","Cafés","Café","+420607263969","+420 607 263 969","","","","","https://igx.4sqi.net/img/general/width960/3757960_cYiOhnsOQenqjPsCszQm1lVNGfBHySD2rfyV6EYFE3s.jpg","3757960_cYiOhnsOQenqjPsCszQm1lVNGfBHySD2rfyV6EYFE3s.jpg",7.2,"https://foursquare.com/v/caf%C3%A9-spitfire/4e864646b8f7317f2fece6bd",75,"$","4957"
"8","NEONE","http://www.lunchmeat.cz","522cbf012fc6908fed51b250","Bubenská 1","",50.098215960266,14.436764717102,"170 00","Praha","Hlavní město Praha","Česká republika",3619,1913,14,"4bf58dd8d48988d1e5931735","Music Venue","Music Venues","Music Venue","","","lunchmeatcz","231762200305088","LunchmeatNeone","NEONE","https://igx.4sqi.net/img/general/width960/18450271_WBB0WTiw5MkNePCb81ti563XzeY8a3tiE1WbL8wXimQ.jpg","18450271_WBB0WTiw5MkNePCb81ti563XzeY8a3tiE1WbL8wXimQ.jpg",8.3,"https://foursquare.com/v/neone/522cbf012fc6908fed51b250",138,"No Credit Cards","4956"
"9","Nonstop Letná","","4bb7e1d4b35776b04d57c801","Milady Horákové 141/70","",50.0999846695211,14.4218194484711,"170 00","Praha","Hlavní město Praha","Česká republika",2883,1907,31,"4bf58dd8d48988d118951735","Grocery Store","Grocery Stores","Grocery Store","","","","","","","https://igx.4sqi.net/img/general/width960/149722_GHXuOKZzxj3NRTHkLA0jSLDAYeylUbT11-asVYkShuM.jpg","149722_GHXuOKZzxj3NRTHkLA0jSLDAYeylUbT11-asVYkShuM.jpg",7,"https://foursquare.com/v/nonstop-letn%C3%A1/4bb7e1d4b35776b04d57c801",46,"Credit Cards","4955"
"10","Metronom","","4b5176d7f964a520ce4d27e3","Letenské sady","Stalinův pomník",50.0947196424752,14.4159293174744,"170 00","Praha","Hlavní město Praha","Česká republika",7134,4931,45,"4bf58dd8d48988d12d941735","Monument / Landmark","Monuments / Landmarks","Landmark","","","","","","","https://igx.4sqi.net/img/general/width960/TgjtNQeRUZOThCxMEJiT8CMxuvJnkrZZ4GyjJWqcpT8.jpg","TgjtNQeRUZOThCxMEJiT8CMxuvJnkrZZ4GyjJWqcpT8.jpg",8.3,"https://foursquare.com/v/metronom/4b5176d7f964a520ce4d27e3",178,"No Credit Cards","4954"
